,Count Diff,Count Same,Mean Diff,Mean Same,Std Diff,Std Same,Diff_M,Diff_S
24,45862.0,1625.0,34.8790283895,34.3803076923,13.1284194301,12.9140053104,-0.498720697209,-0.214414119679
25,46186.0,1301.0,34.8764993721,34.3458877786,13.1343517254,12.6440119759,-0.530611593472,-0.490339749499
26,45680.0,1807.0,34.8562171629,35.0071942446,13.1272850233,12.9723469939,0.150977081732,-0.154938029361
27,45930.0,1557.0,34.8772479861,34.411046885,13.1187810905,13.1922440113,-0.46620110103,0.0734629207918
28,46020.0,1467.0,34.8587136028,34.9638718473,13.1177360279,13.2373413806,0.105158244526,0.119605352721
29,46223.0,1264.0,34.8313393765,35.9818037975,13.108274485,13.5476222736,1.15046442097,0.439347788603
30,46125.0,1362.0,34.8489105691,35.3039647577,13.1391375847,12.4994682794,0.455054188604,-0.639669305355
31,46076.0,1411.0,34.8677836618,34.6718639263,13.1146640106,13.3401509077,-0.195919735483,0.225486897031
32,46090.0,1397.0,34.8678021263,34.6692913386,13.1081945117,13.5506376159,-0.198510787692,0.442443104219
33,46184.0,1303.0,34.8430192274,35.5333844973,13.1221526572,13.0790547303,0.690365269876,-0.0430979268795
34,46055.0,1432.0,34.888502877,34.0083798883,13.1261293656,12.9411909456,-0.880122988727,-0.184938419985
35,45889.0,1598.0,34.8566541001,35.0143929912,13.1338866033,12.758207764,0.157738891128,-0.375678839298
36,46154.0,1333.0,34.8753954153,34.3968492123,13.1284274953,12.8689708402,-0.478546203046,-0.259456655086
37,46317.0,1170.0,34.8921994084,33.664957265,13.1328444261,12.6038767933,-1.22724214347,-0.528967632853
38,46016.0,1471.0,34.8120219054,36.4242012237,13.0825412172,14.1976643292,1.61217931823,1.11512311202
39,46174.0,1313.0,34.8514531988,35.2315308454,13.1262452899,12.946407315,0.380077646622,-0.17983797496
40,46211.0,1276.0,34.8682781156,34.6332288401,13.1144704748,13.3702142209,-0.235049275475,0.255743746068
41,45815.0,1672.0,34.8483029575,35.2362440191,13.1179005296,13.2131103766,0.387941061592,0.0952098469961
42,46124.0,1363.0,34.8840733674,34.1137197359,13.1300403913,12.8049117962,-0.770353631568,-0.325128595051
43,46330.0,1157.0,34.8898769696,33.7441659464,13.1273728845,12.8323051839,-1.14571102315,-0.295067700582
44,46107.0,1380.0,34.8559437829,35.0630434783,13.1231972164,13.0615632499,0.207099695321,-0.0616339664901
45,46013.0,1474.0,34.8447177971,35.4002713704,13.1129906568,13.3720544311,0.555553573276,0.259063774355
46,45843.0,1644.0,34.8588225029,34.949513382,13.129393254,12.8977629169,0.0906908791048,-0.231630337152
47,45718.0,1769.0,34.8589395862,34.9400791408,13.1217295561,13.1141794092,0.0811395545989,-0.00755014685877
48,45705.0,1782.0,34.9070998797,33.7042648709,13.129364774,12.8628394071,-1.20283500873,-0.266525366982
49,45994.0,1493.0,34.8645692916,34.7816476892,13.1278311909,12.9231803586,-0.0829216024304,-0.204650832341
50,45801.0,1686.0,34.857623196,34.9798339265,13.1308801017,12.862138544,0.122210730453,-0.26874155773
51,46006.0,1481.0,34.8619527888,34.862255233,13.1154540329,13.306722038,0.00030244418403,0.191268005123
52,45670.0,1817.0,34.8518283337,35.1166758393,13.1272599562,12.9720825432,0.264847505597,-0.155177413029
53,46096.0,1391.0,34.8484467199,35.3098490295,13.1310872681,12.7899312655,0.461402309586,-0.341156002628
54,46100.0,1387.0,34.8498698482,35.2638788753,13.1045054242,13.6672320739,0.414009027114,0.562726649686
55,45796.0,1691.0,34.8604244912,34.9036073329,13.1026833437,13.6202791723,0.0431828417171,0.517595828566
56,45853.0,1634.0,34.8645672039,34.7888616891,13.1104253935,13.4273157822,-0.0757055147842,0.31689038866
57,46112.0,1375.0,34.8710530881,34.5570909091,13.128270414,12.8870151286,-0.313962179042,-0.241255285395
58,45704.0,1783.0,34.8688079818,34.6864834549,13.1419128755,12.5842111597,-0.182324526945,-0.557701715815
59,45817.0,1670.0,34.9013466617,33.7814371257,13.1401493735,12.5493686461,-1.11990953597,-0.590780727357
60,45831.0,1656.0,34.8553817285,35.0440821256,13.1053698689,13.558105501,0.18870039708,0.452735632133
61,45939.0,1548.0,34.8402664403,35.5058139535,13.1195916755,13.1604623161,0.665547513209,0.0408706406246
62,46181.0,1306.0,34.8702063619,34.5704441041,13.1170151045,13.2744105841,-0.299762257789,0.157395479556
63,46059.0,1428.0,34.8409865607,35.5385154062,13.118691926,13.1925230372,0.697528845447,0.0738311112218
64,46238.0,1249.0,34.8696526666,34.5772618094,13.120507008,13.1534579833,-0.29239085719,0.0329509753539
65,46067.0,1420.0,34.8466364209,35.3591549296,13.113418295,13.37028436,0.512518508712,0.256866064912
66,46104.0,1383.0,34.8699678987,34.5950831526,13.1261479781,12.9611812322,-0.274884746097,-0.164966745951
67,45703.0,1784.0,34.8565958471,34.9994394619,13.109638998,13.420106951,0.142843614784,0.310467953001
68,46034.0,1453.0,34.869813616,34.6132140399,13.1168188681,13.2652694461,-0.256599576106,0.148450578007
69,46148.0,1339.0,34.8616408078,34.8730395818,13.1305692406,12.8032255117,0.0113987739418,-0.327343728892
70,46196.0,1291.0,34.8337301931,35.8721920991,13.1002858178,13.8203846662,1.03846190606,0.720098848451
71,45908.0,1579.0,34.8568876884,35.0094996833,13.1211620369,13.1291927338,0.152611994924,0.00803069684372
